academic_year,semester,title,program,comment,internal_link,external_link
25,2,Meccanica Superiore I,CdL Magistrale di Matematica,,MS1-2026,
25,1,Calculus,CdL Global Governance,codocenza con Alfonso Sorrentino,,https://economia.uniroma2.it/ba/globalgovernance/corso/2945/
25,1,Mathematics for Economics and Finance,CdL Business Administration and Economics,codocenza con Christoph Lhotka,,https://economia.uniroma2.it/ba/business-administration-economics/corso/programma/2946/
24,1,Matematica,CdL Scienze Biologiche,Canale M-Z,Mat-SB-2024,
24,2,Fisica Matematica I,CdL Triennale di Matematica,esercitazioni,,https://www.mat.uniroma2.it/~liverani/Meccanica24/meccanica.html
24,2,Fisica Matematica II,CdL Triennale di Matematica,esercitazioni,,
23,2,Meccanica Superiore I,CdL Magistrale di Matematica,,ms1_2024,
23,2,Fisica Matematica I,CdL Triennale di Matematica,esercitazioni,,https://www.mat.uniroma2.it/~liverani/Meccanica23/meccanica.html
23,2,Fisica Matematica II,CdL Triennale di Matematica,esercitazioni,,
23,1,Mathematical Analysis II,CdL Engineering Sciences,codocenza con Oliver Buterley,,https://www.mat.uniroma2.it/butterley/MA2/
22,2,Fisica Matematica I,CdL Triennale di Matematica,esercitazioni,,https://www.mat.uniroma2.it/~liverani/Meccanica22/meccanica.html
22,2,Fisica Matematica II,CdL Triennale di Matematica,esercitazioni,,
22,1,Matematica,CdL Scienze Biologiche,Canale M-Z,matbio22,
